epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,48.0916,1.29601,1.10047,0.92919,0.40977,0.34984,0.23005,0.07277,2.24038,3.39105,0.91886,0.000387678,0.000387678,0.000387678
56,48.9179,1.56795,1.00344,0.95207,0.40971,0.375,0.21404,0.05668,2.23299,3.49372,0.91675,0.000379431,0.000379431,0.000379431
57,49.7107,1.44908,0.74821,0.9057,0.40971,0.375,0.21404,0.05668,2.23299,3.49372,0.91675,0.000371185,0.000371185,0.000371185
58,50.5403,1.45937,1.54281,0.94644,0.3597,0.25,0.21377,0.06607,2.14332,3.54961,0.89896,0.000362938,0.000362938,0.000362938
59,51.3312,1.45181,1.01662,0.88172,0.3597,0.25,0.21377,0.06607,2.14332,3.54961,0.89896,0.000354691,0.000354691,0.000354691
60,52.1366,1.38931,0.82056,1.04009,0.42186,0.375,0.2139,0.0653,2.08925,3.60019,0.89766,0.000346445,0.000346445,0.000346445
61,52.9694,1.4225,1.31163,0.98374,0.42186,0.375,0.2139,0.0653,2.08925,3.60019,0.89766,0.000338198,0.000338198,0.000338198
62,53.7475,1.41361,1.08957,1.01529,0.4111,0.35809,0.21355,0.06522,2.09953,3.63417,0.89514,0.000329951,0.000329951,0.000329951
63,54.5285,1.93308,1.86938,0.89774,0.4111,0.35809,0.21355,0.06522,2.09953,3.63417,0.89514,0.000321705,0.000321705,0.000321705
64,55.3504,1.46414,1.16374,0.96509,0.42612,0.25,0.21912,0.07231,2.1585,3.61605,0.89777,0.000313458,0.000313458,0.000313458
65,56.1308,1.32014,0.82492,0.94395,0.42612,0.25,0.21912,0.07231,2.1585,3.61605,0.89777,0.000305211,0.000305211,0.000305211
66,56.9281,1.07151,0.82493,0.92645,0.47048,0.24424,0.23583,0.08825,2.20896,3.53096,0.91226,0.000296964,0.000296964,0.000296964
67,57.7153,1.08167,0.98871,0.90096,0.47048,0.24424,0.23583,0.08825,2.20896,3.53096,0.91226,0.000288718,0.000288718,0.000288718
68,58.5425,1.2937,0.83427,0.85361,0.47755,0.25,0.21663,0.08665,2.24694,3.53742,0.92123,0.000280471,0.000280471,0.000280471
69,59.3371,1.80325,1.7349,0.98645,0.47755,0.25,0.21663,0.08665,2.24694,3.53742,0.92123,0.000272224,0.000272224,0.000272224
70,60.13,1.39657,0.70414,0.88802,0.46146,0.25,0.21672,0.08952,2.15975,3.5277,0.9149,0.000263978,0.000263978,0.000263978
71,60.9422,1.72799,1.84227,0.91817,0.46146,0.25,0.21672,0.08952,2.15975,3.5277,0.9149,0.000255731,0.000255731,0.000255731
72,61.746,1.39519,1.29519,0.81854,0.46136,0.25,0.20668,0.09874,2.13291,3.53244,0.91299,0.000247484,0.000247484,0.000247484
73,62.5354,1.17722,0.80346,0.84703,0.46136,0.25,0.20668,0.09874,2.13291,3.53244,0.91299,0.000239238,0.000239238,0.000239238
74,63.3672,1.34853,0.81224,0.89689,0.46467,0.25,0.20681,0.09559,2.09137,3.5759,0.91445,0.000230991,0.000230991,0.000230991
75,64.1709,1.4993,1.10492,0.82421,0.46467,0.25,0.20681,0.09559,2.09137,3.5759,0.91445,0.000222744,0.000222744,0.000222744
76,64.9666,1.44001,1.08985,0.93616,0.46733,0.25,0.2172,0.10425,2.04094,3.60263,0.91568,0.000214497,0.000214497,0.000214497
77,65.7762,1.27441,0.73256,0.85603,0.46733,0.25,0.2172,0.10425,2.04094,3.60263,0.91568,0.000206251,0.000206251,0.000206251
78,66.5973,1.26598,0.76247,0.86655,0.47226,0.25,0.23005,0.11768,2.04014,3.54811,0.91877,0.000198004,0.000198004,0.000198004
79,67.3947,1.07418,0.68844,0.90055,0.47226,0.25,0.23005,0.11768,2.04014,3.54811,0.91877,0.000189757,0.000189757,0.000189757
80,68.2028,1.54688,0.9364,0.94727,0.43055,0.25,0.21984,0.11939,2.10297,3.47628,0.92569,0.000181511,0.000181511,0.000181511
81,69.0037,1.12948,0.79747,0.92733,0.43055,0.25,0.21984,0.11939,2.10297,3.47628,0.92569,0.000173264,0.000173264,0.000173264
82,69.8119,1.33318,0.74648,0.92274,0.41897,0.25,0.28427,0.15451,2.25021,3.40345,0.93948,0.000165017,0.000165017,0.000165017
83,70.5959,1.76964,1.54572,0.86284,0.41897,0.25,0.28427,0.15451,2.25021,3.40345,0.93948,0.000156771,0.000156771,0.000156771
84,71.4444,1.29403,0.66141,0.92901,0.38111,0.375,0.30318,0.14927,2.39175,3.36769,0.95646,0.000148524,0.000148524,0.000148524
85,72.242,1.16523,0.67761,0.98427,0.38111,0.375,0.30318,0.14927,2.39175,3.36769,0.95646,0.000140277,0.000140277,0.000140277
86,73.0808,1.21694,0.7866,0.88168,0.09583,0.5,0.26819,0.0952,2.46983,3.39494,0.96005,0.000132031,0.000132031,0.000132031
87,73.9054,1.58523,1.20414,0.79607,0.09583,0.5,0.26819,0.0952,2.46983,3.39494,0.96005,0.000123784,0.000123784,0.000123784
88,74.7488,1.7844,1.03219,0.91689,0.09191,0.5,0.26819,0.11059,2.4286,3.37473,0.95264,0.000115537,0.000115537,0.000115537
89,75.5478,1.20061,1.09456,0.90092,0.09191,0.5,0.26819,0.11059,2.4286,3.37473,0.95264,0.00010729,0.00010729,0.00010729
90,76.3742,1.62752,1.87382,0.91006,0.10051,0.625,0.2769,0.12796,2.37867,3.38446,0.94699,9.90437e-05,9.90437e-05,9.90437e-05
91,82.2126,1.62112,1.92271,0.88389,0.10051,0.625,0.2769,0.12796,2.37867,3.38446,0.94699,9.0797e-05,9.0797e-05,9.0797e-05
92,83.0653,1.33946,1.30999,0.88243,0.09644,0.375,0.2679,0.12712,2.34946,3.35758,0.94518,8.25503e-05,8.25503e-05,8.25503e-05
93,83.8627,1.05387,0.80085,0.94132,0.09644,0.375,0.2679,0.12712,2.34946,3.35758,0.94518,7.43036e-05,7.43036e-05,7.43036e-05
94,84.6472,1.48545,1.47224,0.91594,0.35428,0.375,0.2679,0.13023,2.30068,3.38397,0.93537,6.60569e-05,6.60569e-05,6.60569e-05
95,85.4086,1.78046,1.39901,0.91562,0.35428,0.375,0.2679,0.13023,2.30068,3.38397,0.93537,5.78102e-05,5.78102e-05,5.78102e-05
96,86.1901,1.19188,0.80875,0.85248,0.39049,0.375,0.26777,0.14282,2.27292,3.37987,0.92947,4.95635e-05,4.95635e-05,4.95635e-05
97,86.9721,1.97067,1.21991,0.9014,0.39049,0.375,0.26777,0.14282,2.27292,3.37987,0.92947,4.13168e-05,4.13168e-05,4.13168e-05
98,87.7526,1.27019,0.85764,0.91091,0.40982,0.375,0.25301,0.10237,2.30939,3.41481,0.92905,3.30701e-05,3.30701e-05,3.30701e-05
99,88.5578,1.35572,0.89375,0.85123,0.40982,0.375,0.25301,0.10237,2.30939,3.41481,0.92905,2.48234e-05,2.48234e-05,2.48234e-05
100,89.3886,1.67783,1.74815,0.83101,0.39905,0.375,0.25322,0.10247,2.28405,3.45006,0.92475,1.65767e-05,1.65767e-05,1.65767e-05
